Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,0.280200,0.310000,0.254800,0.273100,0.273100,359991
2017-08-08,0.273100,0.301400,0.253600,0.278600,0.278600,443420
2017-08-09,0.278600,0.304600,0.275400,0.293000,0.293000,353914
2017-08-10,0.293100,0.300000,0.274000,0.293000,0.293000,354951
2017-08-11,0.293000,0.302700,0.268300,0.274100,0.274100,378226
2017-08-12,0.274100,0.279600,0.223400,0.259500,0.259500,392884
2017-08-13,0.259500,0.267200,0.233200,0.252600,0.252600,398005
2017-08-14,0.252600,0.256000,0.227200,0.245800,0.245800,395125
2017-08-15,0.245800,0.279500,0.243300,0.256800,0.256800,356136
2017-08-16,0.256800,0.259000,0.242500,0.245200,0.245200,421783
2017-08-17,0.245200,0.255000,0.235000,0.241200,0.241200,383122
2017-08-18,0.241200,0.263100,0.225700,0.254900,0.254900,397459
2017-08-19,0.254900,0.320000,0.254500,0.276000,0.276000,347227
2017-08-20,0.276000,0.310000,0.235800,0.246500,0.246500,398255
2017-08-21,0.246500,0.261600,0.234300,0.249500,0.249500,394963
2017-08-22,0.249500,0.261500,0.241300,0.258300,0.258300,335380
2017-08-23,0.258300,0.260000,0.181600,0.240900,0.240900,410037
2017-08-24,0.240900,0.285000,0.181900,0.256000,0.256000,521839
2017-08-25,0.256000,0.339000,0.215000,0.269600,0.269600,416817
2017-08-26,0.269600,0.280000,0.255000,0.270900,0.270900,372586
2017-08-27,0.270900,0.288700,0.266900,0.280800,0.280800,442255
2017-08-28,0.280800,0.288000,0.277100,0.282000,0.282000,421120
2017-08-29,0.282000,0.300000,0.280000,0.294200,0.294200,425852
2017-08-30,0.294200,0.340000,0.288500,0.337200,0.337200,521081
2017-08-31,0.337200,0.340000,0.311100,0.324900,0.324900,469868
2017-09-01,0.326000,0.329700,0.262400,0.277700,0.277700,307110
2017-09-02,0.277700,0.316100,0.261000,0.301100,0.301100,531598
2017-09-03,0.301100,0.311000,0.247100,0.276700,0.276700,335788
2017-09-04,0.276700,0.290500,0.246300,0.283800,0.283800,150869
2017-09-05,0.283800,0.308500,0.278600,0.300900,0.300900,155448
2017-09-06,0.300900,0.302700,0.285000,0.292300,0.292300,169339
2017-09-07,0.292300,0.307100,0.251900,0.265100,0.265100,163046
2017-09-08,0.265100,0.286800,0.253800,0.272500,0.272500,148757
2017-09-09,0.272500,0.274000,0.235000,0.266800,0.266800,160155
2017-09-10,0.266800,0.288200,0.252600,0.256400,0.256400,141048
2017-09-11,0.256400,0.268900,0.245300,0.248600,0.248600,144324
2017-09-12,0.248600,0.257900,0.214600,0.231000,0.231000,173534
2017-09-13,0.231000,0.236000,0.172400,0.179400,0.179400,225455
2017-09-14,0.179400,0.228500,0.158200,0.221000,0.221000,145568
2017-09-15,0.221000,0.236000,0.201300,0.212300,0.212300,109061
2017-09-16,0.212300,0.225000,0.198400,0.215600,0.215600,196515
2017-09-17,0.215600,0.252200,0.208900,0.244100,0.244100,165262
2017-09-18,0.244100,0.256100,0.229000,0.237500,0.237500,162280
2017-09-19,0.237500,0.239800,0.229600,0.233000,0.233000,154208
2017-09-20,0.233000,0.236100,0.204800,0.210000,0.210000,194312
2017-09-21,0.210000,0.220000,0.200800,0.208000,0.208000,194564
2017-09-22,0.208000,0.227900,0.202300,0.219700,0.219700,186634
2017-09-23,0.219700,0.232900,0.214800,0.216300,0.216300,162078
2017-09-24,0.216300,0.239000,0.216300,0.236800,0.236800,185774
2017-09-25,0.236800,0.239700,0.219000,0.231400,0.231400,175208
2017-09-26,0.231400,0.252200,0.225200,0.247000,0.247000,174308
2017-09-27,0.247000,0.251000,0.229500,0.236600,0.236600,178290
2017-09-28,0.236600,0.238700,0.217700,0.236500,0.236500,190367
2017-09-29,0.236500,0.240100,0.232600,0.234900,0.234900,159764
2017-09-30,0.234900,0.250900,0.216500,0.244000,0.244000,175061
2017-10-01,0.244000,0.260000,0.230000,0.231000,0.231000,190499
2017-10-02,0.231000,0.240000,0.215000,0.226000,0.226000,213457
2017-10-03,0.226000,0.228000,0.210000,0.215800,0.215800,245079
2017-10-04,0.215800,0.225900,0.204200,0.209900,0.209900,292537
2017-10-05,0.209900,0.224800,0.202200,0.217300,0.217300,234133
2017-10-06,0.217300,0.225500,0.195000,0.213200,0.213200,304611
2017-10-07,0.213200,0.213700,0.190000,0.195800,0.195800,275602
2017-10-08,0.195800,0.206700,0.190200,0.195000,0.195000,315368
2017-10-09,0.195000,0.219700,0.192300,0.211600,0.211600,374747
2017-10-10,0.211600,0.219800,0.207800,0.213400,0.213400,245547
2017-10-11,0.213400,0.215400,0.201800,0.205700,0.205700,245421
2017-10-12,0.205700,0.213800,0.193000,0.212300,0.212300,370269
2017-10-13,0.212300,0.214000,0.202100,0.210000,0.210000,242571
2017-10-14,0.210000,0.211500,0.195700,0.206000,0.206000,217043
2017-10-15,0.207400,0.260000,0.202600,0.222400,0.222400,345749
2017-10-16,0.222400,0.235000,0.213000,0.214700,0.214700,261588
2017-10-17,0.219800,0.222400,0.204000,0.219300,0.219300,226040
2017-10-18,0.215700,0.230200,0.211900,0.218800,0.218800,262756
2017-10-19,0.221100,0.248600,0.212100,0.215700,0.215700,243656
2017-10-20,0.214300,0.222600,0.197000,0.206900,0.206900,300857
2017-10-21,0.214400,0.222700,0.197000,0.210500,0.210500,380241
2017-10-22,0.209400,0.214600,0.183200,0.201500,0.201500,270895
2017-10-23,0.202900,0.222100,0.190200,0.210500,0.210500,376991
2017-10-24,0.211100,0.218900,0.195000,0.203900,0.203900,363559
2017-10-25,0.204300,0.205800,0.193000,0.198800,0.198800,256561
2017-10-26,0.199400,0.202800,0.193000,0.196400,0.196400,247853
2017-10-27,0.196200,0.204900,0.191000,0.196200,0.196200,238214
2017-10-28,0.196900,0.210000,0.191000,0.201300,0.201300,2651375
2017-10-30,0.201100,0.205800,0.196000,0.200400,0.200400,195346
2017-10-31,0.200300,0.202300,0.182800,0.186700,0.186700,143310
2017-11-01,0.186400,0.193100,0.165500,0.166900,0.166900,115136
2017-11-02,0.166900,0.183000,0.150000,0.166400,0.166400,128010
2017-11-03,0.166900,0.180500,0.160000,0.170700,0.170700,107970
2017-11-04,0.170700,0.179900,0.167600,0.170000,0.170000,79427
2017-11-05,0.170000,0.181600,0.163000,0.179700,0.179700,137429
2017-11-06,0.177900,0.220000,0.175400,0.185400,0.185400,154874
2017-11-07,0.185500,0.187900,0.173500,0.178900,0.178900,96218
2017-11-08,0.178500,0.197500,0.176100,0.192300,0.192300,127315
2017-11-09,0.192300,0.229000,0.187500,0.225300,0.225300,133228
2017-11-10,0.225100,0.239000,0.185000,0.192900,0.192900,125771
2017-11-11,0.191800,0.214000,0.184700,0.191600,0.191600,133185
2017-11-12,0.191200,0.192400,0.161000,0.183900,0.183900,130853
2017-11-13,0.183900,0.208100,0.180400,0.192200,0.192200,120322
2017-11-14,0.191400,0.208800,0.191100,0.208200,0.208200,98249
2017-11-15,0.207700,0.210000,0.198500,0.202100,0.202100,98263
2017-11-16,0.203500,0.217500,0.191600,0.197600,0.197600,171104
2017-11-17,0.197800,0.202600,0.180000,0.192800,0.192800,102323
2017-11-18,0.191200,0.199500,0.187100,0.193900,0.193900,140381
2017-11-19,0.192300,0.208700,0.192000,0.203600,0.203600,157053
2017-11-20,0.201300,0.224000,0.200000,0.214200,0.214200,240386
2017-11-21,0.213900,0.219300,0.198000,0.202700,0.202700,126937
2017-11-22,0.202500,0.209100,0.198200,0.204200,0.204200,79985
2017-11-23,0.204000,0.210800,0.198100,0.201100,0.201100,105128
2017-11-24,0.201100,0.209800,0.197000,0.207800,0.207800,97528
2017-11-25,0.208400,0.223100,0.207000,0.220100,0.220100,121138
2017-11-26,0.220200,0.224000,0.200100,0.214300,0.214300,118356
2017-11-27,0.214200,0.225000,0.210100,0.224800,0.224800,119119
2017-11-28,0.224000,0.257000,0.220000,0.245400,0.245400,135487
2017-11-29,0.245100,0.267200,0.202200,0.213700,0.213700,176622
2017-11-30,0.214400,0.240000,0.200200,0.219800,0.219800,90854
2017-12-01,0.219500,0.239800,0.208400,0.238300,0.238300,271196
2017-12-02,0.238600,0.259700,0.215000,0.250300,0.250300,116097
2017-12-03,0.249800,0.296200,0.245800,0.270400,0.270400,187972
2017-12-04,0.268800,0.285500,0.263100,0.284800,0.284800,124252
2017-12-05,0.284600,0.310800,0.270500,0.299000,0.299000,163031
2017-12-06,0.299500,0.322700,0.287400,0.314800,0.314800,144826
2017-12-07,0.316500,0.326600,0.250000,0.283600,0.283600,200046
2017-12-08,0.289000,0.715300,0.236000,0.641700,0.641700,529580
2017-12-09,0.641700,0.669000,0.364400,0.438700,0.438700,442132
2017-12-10,0.438500,0.449000,0.316700,0.381200,0.381200,359791
2017-12-11,0.381800,0.525600,0.380900,0.488600,0.488600,434443
2017-12-12,0.497500,0.582500,0.453700,0.504200,0.504200,592944
2017-12-13,0.501400,0.542800,0.465000,0.508700,0.508700,532622
2017-12-14,0.508700,0.615000,0.490000,0.596300,0.596300,424762
2017-12-15,0.600300,0.610000,0.495000,0.589500,0.589500,318930
2017-12-16,0.583900,0.711300,0.564700,0.645500,0.645500,561892
2017-12-17,0.645600,0.741100,0.621500,0.675400,0.675400,388184
2017-12-18,0.675400,0.830000,0.660700,0.829300,0.829300,710999
2017-12-19,0.829300,1.050000,0.810300,0.891300,0.891300,1254620
2017-12-20,0.891300,1.040000,0.747700,0.888000,0.888000,666065
2017-12-21,0.887200,1.040000,0.855600,0.976200,0.976200,758704
2017-12-22,0.972700,1.000000,0.516800,0.798900,0.798900,857280
2017-12-23,0.796800,0.951000,0.759800,0.865200,0.865200,512188
2017-12-24,0.871600,1.010000,0.713400,1.000000,1.000000,491612
2017-12-25,0.998800,1.090000,0.899200,0.984000,0.984000,676630
2017-12-26,0.980200,1.000000,0.902000,0.967500,0.967500,376938
2017-12-27,0.967500,0.992900,0.888000,0.929600,0.929600,319614
2017-12-28,0.930200,0.948600,0.795000,0.885700,0.885700,275775
2017-12-29,0.890300,1.050000,0.870000,1.030000,1.030000,444221
2017-12-30,1.040000,1.050000,0.840000,0.881900,0.881900,371915
2017-12-31,0.881200,1.080000,0.873000,1.030000,1.030000,358655
2018-01-01,1.020000,1.060000,0.955300,1.010000,1.010000,372337
2018-01-02,1.010000,1.170000,0.997800,1.130000,1.130000,508842
2018-01-03,1.130000,1.780000,1.120000,1.750000,1.750000,1451938
2018-01-04,1.750000,2.060000,1.520000,1.610000,1.610000,1701356
2018-01-05,1.600000,1.810000,1.500000,1.560000,1.560000,1240544
2018-01-06,1.560000,1.700000,1.450000,1.630000,1.630000,667120
2018-01-07,1.630000,1.900000,1.580000,1.800000,1.800000,782058
2018-01-08,1.800000,1.800000,1.310000,1.570000,1.570000,599946
